times=0,loss=100000.0000,accu=0.0000,lr=0.010000,decay=0.000002
Saved times=1,loss=0.0502,accu=0.0289,lr=0.010000,decay=0.000002overfit rate = 0%
times=2,loss=0.0502,accu=0.0289,lr=0.009970,decay=0.000002overfit rate = 5%
Saved times=3,loss=0.0414,accu=0.0294,lr=0.009940,decay=0.000002overfit rate = 0%
Saved times=4,loss=0.0291,accu=0.0295,lr=0.009910,decay=0.000002overfit rate = 0%
times=5,loss=0.0291,accu=0.0295,lr=0.009881,decay=0.000002overfit rate = 10%
times=6,loss=0.0291,accu=0.0295,lr=0.009851,decay=0.000002overfit rate = 5%
Saved times=7,loss=0.0241,accu=0.0296,lr=0.009822,decay=0.000002overfit rate = 0%
times=8,loss=0.0241,accu=0.0296,lr=0.009792,decay=0.000002overfit rate = 5%
Saved times=9,loss=0.0220,accu=0.0294,lr=0.009763,decay=0.000002overfit rate = 0%
times=10,loss=0.0220,accu=0.0294,lr=0.009734,decay=0.000002overfit rate = 25%
times=11,loss=0.0220,accu=0.0294,lr=0.009704,decay=0.000002overfit rate = 5%
times=12,loss=0.0220,accu=0.0294,lr=0.009675,decay=0.000002overfit rate = 5%
times=13,loss=0.0220,accu=0.0294,lr=0.009646,decay=0.000002overfit rate = 5%
times=14,loss=0.0220,accu=0.0294,lr=0.009618,decay=0.000002overfit rate = 30%
times=15,loss=0.0220,accu=0.0294,lr=0.009589,decay=0.000002overfit rate = 45%
times=16,loss=0.0220,accu=0.0294,lr=0.009560,decay=0.000002overfit rate = 40%
times=17,loss=0.0220,accu=0.0294,lr=0.009531,decay=0.000002overfit rate = 55%
times=18,loss=0.0220,accu=0.0294,lr=0.009503,decay=0.000002overfit rate = 20%
Saved times=19,loss=0.0209,accu=0.0297,lr=0.009474,decay=0.000002overfit rate = 0%
times=20,loss=0.0209,accu=0.0297,lr=0.009446,decay=0.000002overfit rate = 30%
Saved times=21,loss=0.0204,accu=0.0297,lr=0.009418,decay=0.000002overfit rate = 0%
Saved times=22,loss=0.0200,accu=0.0297,lr=0.009389,decay=0.000002overfit rate = 0%
times=23,loss=0.0200,accu=0.0297,lr=0.009361,decay=0.000002overfit rate = 15%
times=24,loss=0.0200,accu=0.0297,lr=0.009333,decay=0.000002overfit rate = 65%
times=25,loss=0.0200,accu=0.0297,lr=0.009305,decay=0.000002overfit rate = 55%
times=26,loss=0.0200,accu=0.0297,lr=0.009277,decay=0.000002overfit rate = 5%
times=27,loss=0.0200,accu=0.0297,lr=0.009250,decay=0.000002overfit rate = 5%
times=28,loss=0.0200,accu=0.0297,lr=0.009222,decay=0.000002overfit rate = 30%
Saved times=29,loss=0.0184,accu=0.0296,lr=0.009194,decay=0.000002overfit rate = 0%
Saved times=30,loss=0.0171,accu=0.0297,lr=0.009167,decay=0.000002overfit rate = 0%
times=31,loss=0.0171,accu=0.0297,lr=0.009139,decay=0.000002overfit rate = 10%
times=32,loss=0.0171,accu=0.0297,lr=0.009112,decay=0.000002overfit rate = 5%
times=33,loss=0.0171,accu=0.0297,lr=0.009085,decay=0.000002overfit rate = 60%
times=34,loss=0.0171,accu=0.0297,lr=0.009057,decay=0.000002overfit rate = 60%
times=35,loss=0.0171,accu=0.0297,lr=0.009030,decay=0.000002overfit rate = 15%
times=36,loss=0.0171,accu=0.0297,lr=0.009003,decay=0.000002overfit rate = 10%
times=1,loss=0.0171,accu=0.0297,lr=0.009970,decay=0.000002overfit rate = 0%
Saved times=2,loss=0.0170,accu=0.0297,lr=0.009940,decay=0.000002overfit rate = 0%
times=3,loss=0.0170,accu=0.0297,lr=0.009910,decay=0.000002overfit rate = 5%
times=4,loss=0.0170,accu=0.0297,lr=0.009881,decay=0.000002overfit rate = 0%
times=5,loss=0.0170,accu=0.0297,lr=0.009851,decay=0.000002overfit rate = 20%
times=6,loss=0.0170,accu=0.0297,lr=0.009822,decay=0.000002overfit rate = 15%
